id,Lat,Long
364,40.836488,-73.847036
365,40.834255,-73.851222
366,40.833226,-73.860816
367,40.831509,-73.867618
368,40.829521,-73.874516
369,40.828584,-73.879159
370,40.826525,-73.886283
371,40.820948,-73.890549
372,40.816104,-73.896435
373,40.812118,-73.904098
374,40.808719,-73.907657
375,40.805368,-73.914042
376,40.807566,-73.91924
377,40.810476,-73.926138
378,40.886037,-73.878751
379,40.87975,-73.884655
380,40.873412,-73.890064
383,40.858407,-73.903879
384,40.853453,-73.907684
385,40.84848,-73.911794
386,40.844434,-73.914685
391,40.813224,-73.929849
394,40.79502,-73.94425
399,40.768141,-73.96387
403,40.746081,-73.982076
407,40.730054,-73.99107
414,40.704817,-74.014065
416,40.903125,-73.85062
417,40.898379,-73.854376
418,40.893193,-73.857473
419,40.888022,-73.860341
420,40.883895,-73.862633
421,40.87785,-73.866256
422,40.871356,-73.867164
423,40.865462,-73.867352
424,40.857192,-73.867615
425,40.848828,-73.868457
426,40.841894,-73.873488
427,40.840295,-73.880049
428,40.837288,-73.887734
429,40.829993,-73.891865
430,40.824073,-73.893064
431,40.822181,-73.896736
433,40.81649,-73.907807
434,40.816109,-73.917757
436,40.82388,-73.93647
441,40.799075,-73.951822
442,40.8883,-73.830834
443,40.878663,-73.838591
446,40.854364,-73.860495
447,40.7596,-73.83003
448,40.754622,-73.845625
450,40.749865,-73.8627
451,40.749145,-73.869527
452,40.748408,-73.876613
453,40.747659,-73.883697
455,40.746325,-73.896403
456,40.74563,-73.902984
457,40.744149,-73.912549
458,40.743132,-73.918435
459,40.743781,-73.924016
460,40.744587,-73.930997
461,40.750582,-73.940202
463,40.742216,-73.948916
464,40.742626,-73.953581
471,40.755882,-74.00191
501,40.643748,-74.073643
502,40.636949,-74.074835
503,40.627915,-74.075162
504,40.621319,-74.071402
505,40.603117,-74.084087
506,40.596612,-74.087368
507,40.588849,-74.09609
508,40.583591,-74.103338
509,40.578965,-74.109704
510,40.57348,-74.11721
511,40.56511,-74.12632
512,40.5564,-74.136907
513,40.551231,-74.151399
514,40.544601,-74.16457
515,40.54046,-74.178217
516,40.533674,-74.191794
517,40.525507,-74.200064
518,40.52241,-74.217847
519,40.519631,-74.229141
522,40.512764,-74.251961
523,40.516578,-74.242096
601,40.738228,-73.996209
601,40.737335,-73.996786
602,40.735736,-73.990568
603,40.818375,-73.927351
604,40.827905,-73.925651
605,40.840719,-73.939561
605,40.840556,-73.940133
606,40.746554,-73.943832
606,40.747846,-73.946
607,40.749567,-73.98795
608,40.670847,-73.988302
609,40.754222,-73.984569
609,40.753821,-73.981963
610,40.751776,-73.976848
611,40.757308,-73.989735
611,40.754672,-73.986754
612,40.757107,-73.97192
612,40.757552,-73.969055
613,40.76266,-73.967258
614,40.768296,-73.981736
615,40.626472,-73.996895
615,40.624842,-73.996353
616,40.746848,-73.891394
616,40.746644,-73.891338
617,40.683666,-73.97881
619,40.725915,-73.994659
619,40.725297,-73.996204
620,40.693219,-73.989998
620,40.6941,-73.991777
621,40.679498,-73.904512
622,40.713065,-74.004131
624,40.710668,-74.011029
624,40.713051,-74.008811
624,40.712582,-74.009781
625,40.718315,-73.987437
626,40.670343,-73.959245
626,40.670682,-73.958131
627,40.680596,-73.955827
629,40.712792,-73.951418
630,40.69943,-73.912385
635,40.702068,-74.013664
635,40.703087,-74.012994
636,40.69218,-73.985942
