id,Station,Boro,2019,2023
363,Westchester Sq-East Tremont Av (6),Bx,"1,796,415","773,043"
370,Whitlock Av (6),Bx,"586,845","385,838"
130,Wilson Av (L),B,"1,290,221","952,643"
355,"Winthrop St (2,5)",B,"1,882,065","1,628,419"
83,"Woodhaven Blvd (J,Z)",Q,"1,337,787","557,522"
264,"Woodhaven Blvd (M,R)",Q,"6,381,132","4,237,180"
378,Woodlawn (4),Bx,"2,094,285","1,299,027"
456,Woodside-61 St (7),Q,"5,345,369","4,222,161"
328,WTC Cortlandt (1),M,"4,232,521","3,358,064"
235,York St (F),B,"3,927,129","3,345,474"
364,Zerega Av (6),Bx,"795,756","504,725"
