,id,Station,Boro,2019,2023,GTFS Stop ID,Station ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,Lat,Long,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,POINT,BLOCK GROUP,TRACT,DISTANCE
321,283,Greenpoint Av (G),B,"3,089,912","2,457,616",G26,283,IND,Crosstown,Greenpoint Av,Bk,FALSE,G,Subway,40.731352,-73.954449,Queens,Southbound,1,1,1,,POINT (-73.954449 40.731352),POINT (-73.954449 40.731352),360470575003,36047057500,0.037785842653033246
322,421,"Gun Hill Rd (2,5)",Bx,"2,271,942","1,214,663",208,421,IRT,Lenox - White Plains Rd,Gun Hill Rd,Bx,FALSE,2 5,Elevated,40.87785,-73.866256,Northbound,Manhattan,1,1,1,,POINT (-73.866256 40.87785),POINT (-73.866256 40.87785),360050378003,36005037800,0.1702361654760757
323,444,Gun Hill Rd (5),Bx,"1,248,513","925,025",503,444,IRT,Dyre Av,Gun Hill Rd,Bx,FALSE,5,Open Cut,40.869526,-73.846384,Eastchester,Manhattan,1,1,1,,POINT (-73.846384 40.869526),POINT (-73.846384 40.869526),360050350001,36005035000,0.1791013214133237
324,94,Halsey St (J),B,"2,120,521","1,253,085",J29,94,BMT,Jamaica,Halsey St,Bk,FALSE,J,Elevated,40.68637,-73.916559,Outbound,Manhattan,0,0,0,,POINT (-73.916559 40.68637),POINT (-73.916559 40.68637),360470397001,36047039700,0.09614909974096875
325,129,Halsey St (L),B,"2,176,141","1,713,746",L19,129,BMT,Canarsie,Halsey St,Q,FALSE,L,Subway,40.695602,-73.904084,Manhattan,Outbound,0,0,0,,POINT (-73.904084 40.695602),POINT (-73.904084 40.695602),360810555002,36081055500,0.09951291303142197
326,436,Harlem-148 St (3),M,"1,120,454","679,539",301,436,IRT,Lenox - White Plains Rd,Harlem-148 St,M,FALSE,3,Subway,40.82388,-73.93647,Last Stop,Downtown,0,0,0,,POINT (-73.93647 40.82388),POINT (-73.93647 40.82388),360610236003,36061023600,0.08376957263827939
327,100,"Hewes St (J,M)",B,"1,117,566","612,920",M14,100,BMT,Jamaica,Hewes St,Bk,FALSE,M J,Elevated,40.70687,-73.953431,Outbound,Manhattan,0,0,0,,POINT (-73.953431 40.70687),POINT (-73.953431 40.70687),360470529003,36047052900,0.05693280830066013
328,173,"High St (A,C)",B,"3,536,860","2,247,144",A40,173,IND,8th Av - Fulton St,High St,Bk,FALSE,A C,Subway,40.699337,-73.990531,Manhattan,Outbound,0,0,0,,POINT (-73.990531 40.699337),POINT (-73.990531 40.699337),360470013001,36047001300,0.05594551751481127
329,324,Houston St (1),M,"4,496,793","2,749,660",134,324,IRT,Broadway - 7Av,Houston St,M,TRUE,1,Subway,40.728251,-74.005367,Uptown,Downtown,0,0,0,,POINT (-74.005367 40.728251),POINT (-74.005367 40.728251),360610037002,36061003700,0.03415725237779624
330,198,Howard Beach-JFK Airport (A),Q,"1,171,303","826,955",H03,198,IND,Rockaway,Howard Beach-JFK Airport,Q,FALSE,A,At Grade,40.660476,-73.830301,Manhattan,Rockaways,1,1,1,,POINT (-73.830301 40.660476),POINT (-73.830301 40.660476),360810884008,36081088400,0.1803864584080411
331,336,"Hoyt St (2,3)",B,"2,293,256","1,666,303",233,336,IRT,Eastern Pky,Hoyt St,Bk,FALSE,2 3,Subway,40.690545,-73.985065,Manhattan,Outbound,2,0,1,Outbound only,POINT (-73.985065 40.690545),POINT (-73.985065 40.690545),360470037001,36047003700,0.06436381164909286
332,175,"Hoyt-Schermerhorn Sts (A,C,G)",B,"3,605,153","2,795,555",A42,175,IND,8th Av - Fulton St,Hoyt-Schermerhorn Sts,Bk,FALSE,A C G,Subway,40.688484,-73.985001,Westbound,Queens,0,0,0,,POINT (-73.985001 40.688484),POINT (-73.985001 40.688484),360470041001,36047004100,0.06642354294223973
333,463,Hunters Point Av (7),Q,"1,885,928","1,039,399",720,463,IRT,Flushing,Hunters Point Av,Q,FALSE,7,Subway,40.742216,-73.948916,Outbound,Manhattan,0,0,0,,POINT (-73.948916 40.742216),POINT (-73.948916 40.742216),360810001041,36081000104,0.037306445984572695
334,371,Hunts Point Av (6),Bx,"3,174,354","2,140,557",613,371,IRT,Pelham,Hunts Point Av,Bx,FALSE,6,Subway,40.820948,-73.890549,Northbound,Manhattan,1,1,1,,POINT (-73.890549 40.820948),POINT (-73.890549 40.820948),360050119001,36005011900,0.11443525551594928
335,431,"Intervale Av (2,5)",Bx,"964,689","580,512",218,431,IRT,Lenox - White Plains Rd,Intervale Av,Bx,FALSE,2 5,Elevated,40.822181,-73.896736,Northbound,Manhattan,0,0,0,,POINT (-73.896736 40.822181),POINT (-73.896736 40.822181),360050087005,36005008700,0.11018955784010799
336,143,Inwood-207 St (A),M,"3,150,731","1,632,951",A02,143,IND,8th Av - Fulton St,Inwood-207 St,M,FALSE,A,Subway,40.868072,-73.919899,Last Stop,Downtown,1,1,1,,POINT (-73.919899 40.868072),POINT (-73.919899 40.868072),360610293004,36061029300,0.1300647522774672
337,433,"Jackson Av (2,5)",Bx,"1,584,727","919,324",220,433,IRT,Lenox - White Plains Rd,Jackson Av,Bx,FALSE,2 5,Elevated,40.81649,-73.907807,Northbound,Manhattan,0,0,0,,POINT (-73.907807 40.81649),POINT (-73.907807 40.81649),360050075003,36005007500,0.0979729623365481
338,278,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"10,010,419","5,715,839",G05,278,IND,Queens - Archer,Jamaica Center-Parsons/Archer,Q,FALSE,E J Z,Subway,40.702147,-73.801109,Last Stop,Manhattan,1,1,1,,POINT (-73.801109 40.702147),POINT (-73.801109 40.702147),360810246001,36081024600,0.19034704329198163
339,254,Jamaica-179 St (F),Q,"6,262,449","3,944,828",F01,254,IND,Queens Blvd,Jamaica-179 St,Q,FALSE,F,Subway,40.712646,-73.783817,Last Stop,Manhattan,1,1,1,,POINT (-73.783817 40.712646),POINT (-73.783817 40.712646),360810468001,36081046800,0.20459382689856068
340,280,Jamaica-Van Wyck (E),Q,"1,412,179","1,010,728",G07,280,IND,Queens - Archer,Jamaica-Van Wyck,Q,FALSE,E,Subway,40.702566,-73.816859,Jamaica,Manhattan,1,1,1,,POINT (-73.816859 40.702566),POINT (-73.816859 40.702566),360810216021,36081021602,0.17514268879116962
341,636,"Jay St-MetroTech (A,C,F,R)",B,"12,238,047","7,343,495",A41,174,IND,8th Av - Fulton St,Jay St-MetroTech,Bk,FALSE,A C F,Subway,40.692338,-73.987342,Manhattan,Outbound,1,1,1,,POINT (-73.987342 40.692338),POINT (-73.987342 40.692338),360470011001,36047001100,0.06265119957351173
342,636,"Jay St-MetroTech (A,C,F,R)",B,"12,238,047","7,343,495",R29,25,BMT,Broadway,Jay St-MetroTech,Bk,FALSE,R,Subway,40.69218,-73.985942,Manhattan,Southbound,1,1,1,,POINT (-73.985942 40.69218),POINT (-73.985942 40.69218),360470011001,36047001100,0.06275005788045016
343,508,Jefferson St (L),B,"2,237,997","2,075,924",S24,508,SIR,Staten Island,Jefferson Av,SI,FALSE,SIR,Embankment,40.583591,-74.103338,Ferry,South Shore,0,0,0,,POINT (-74.103338 40.583591),POINT (-74.103338 40.583591),360850114023,36085011402,0.2087781878573527
344,451,Junction Blvd (7),Q,"6,883,317","6,720,760",707,451,IRT,Flushing,Junction Blvd,Q,FALSE,7,Elevated,40.749145,-73.869527,Outbound,Manhattan,1,1,1,,POINT (-73.869527 40.749145),POINT (-73.869527 40.749145),360810465001,36081046500,0.11461757175057247
345,349,Junius St (3),B,"676,092","487,780",254,349,IRT,Eastern Pky,Junius St,Bk,FALSE,3,Elevated,40.663515,-73.902447,Manhattan,New Lots,0,0,0,,POINT (-73.902447 40.663515),POINT (-73.902447 40.663515),360470910003,36047091000,0.12248310101397818
346,259,"Kew Gardens-Union Turnpike (E,F)",Q,"7,625,674","5,016,215",F06,259,IND,Queens Blvd,Kew Gardens-Union Tpke,Q,FALSE,E F,Subway,40.714441,-73.831008,Jamaica,Manhattan,1,1,1,,POINT (-73.831008 40.714441),POINT (-73.831008 40.714441),360810383021,36081038302,0.15825132778273657
347,51,"Kings Hwy (B,Q)",B,"5,938,819","4,244,252",D35,51,BMT,Broadway - Brighton,Kings Hwy,Bk,FALSE,B Q,Open Cut,40.60867,-73.957734,Manhattan,Southbound,1,1,1,,POINT (-73.957734 40.60867),POINT (-73.957734 40.60867),360470552003,36047055200,0.14857023812325404
348,250,Kings Hwy (F),B,"1,129,071","711,229",F35,250,IND,6th Av - Culver,Kings Hwy,Bk,FALSE,F,Elevated,40.603217,-73.972361,Manhattan,Southbound,0,0,0,,POINT (-73.972361 40.603217),POINT (-73.972361 40.603217),360470414011,36047041401,0.15212888880813943
349,77,Kings Hwy (N),B,"1,371,311","1,247,257",N08,77,BMT,Sea Beach,Kings Hwy,Bk,FALSE,N,Open Cut,40.603923,-73.980353,Manhattan,Coney Island,0,0,0,,POINT (-73.980353 40.603923),POINT (-73.980353 40.603923),360470426002,36047042600,0.15102104203719177
350,381,Kingsbridge Rd (4),Bx,"2,733,096","1,958,074",406,381,IRT,Jerome Av,Kingsbridge Rd,Bx,FALSE,4,Elevated,40.86776,-73.897174,Northbound,Manhattan,0,0,0,,POINT (-73.897174 40.86776),POINT (-73.897174 40.86776),360050403041,36005040304,0.14239429018046118
351,212,"Kingsbridge Rd (B,D)",Bx,"2,485,283","1,140,981",D04,212,IND,Concourse,Kingsbridge Rd,Bx,FALSE,B D,Subway,40.866978,-73.893509,Northbound,Manhattan,1,1,1,,POINT (-73.893509 40.866978),POINT (-73.893509 40.866978),360050403021,36005040302,0.14404894711521113
352,344,Kingston Av (3),B,"1,472,802","1,017,521",249,344,IRT,Eastern Pky,Kingston Av,Bk,FALSE,3,Subway,40.669399,-73.942161,Manhattan,Outbound,0,0,0,,POINT (-73.942161 40.669399),POINT (-73.942161 40.669399),360470337022,36047033702,0.09518888024343906
353,180,Kingston-Throop Avs (C),B,"2,055,094","1,444,252",A47,180,IND,8th Av - Fulton St,Kingston-Throop Avs,Bk,FALSE,C,Subway,40.679921,-73.940858,Manhattan,Outbound,0,0,0,,POINT (-73.940858 40.679921),POINT (-73.940858 40.679921),360470269002,36047026900,0.0865048126117784
354,113,Knickerbocker Av (M),B,"1,544,093","862,039",M09,113,BMT,Myrtle Av,Knickerbocker Av,Bk,FALSE,M,Elevated,40.698664,-73.919711,Inbound,Middle Village,0,0,0,,POINT (-73.919711 40.698664),POINT (-73.919711 40.698664),360470431002,36047043100,0.08541406919821982
355,96,Kosciuszko St (J),B,"1,779,062","1,214,488",J31,96,BMT,Jamaica,Kosciuszko St,Bk,FALSE,J,Elevated,40.693342,-73.928814,Outbound,Manhattan,0,0,0,,POINT (-73.928814 40.693342),POINT (-73.928814 40.693342),360470289001,36047028900,0.0826733449184129
