,2019,2023,LOG_2019,LOG_2023,id,Station,Stop Name,LOG_B_JOB_DENSITY,LOG_T_JOB_DENSITY,B_DENSITY,T_DENSITY,DISTANCE,TERMINUS,TOTAL_FREQ,ADA,COMMUTER,TRANSFER,FREQ_X_COMMUTER
0,5345371.0,5745700.0,15.491741697774382,15.563962480968346,119,1 Av (L),1 Av,12.078189885800818,11.94149451444579,1.6198241940132916,1.4265090822187727,0.0240641890160453,0,2.4849066497880004,1,0.0,0,0.0
1,3766055.0,2892314.0,15.141538857977155,14.877567777491139,309,103 St (1),103 St,11.756379766298258,10.503690486179842,1.1933845599022337,-0.024608978355954773,0.0472055267632956,0,2.3978952727983707,0,0.0,0,0.0
2,4039570.0,2601308.0,15.211649056180164,14.771525337835934,395,103 St (6),103 St,12.043013526964787,11.357927996640319,-0.4387363753774615,0.9743508413875204,0.0510719735667148,0,2.4849066497880004,0,0.0,0,0.0
3,1498363.0,1033211.0,14.21988440419606,13.848182954538235,156,"103 St (B,C)",103 St,11.24713013797116,12.620760888773768,1.76925072446139,1.3203652047391412,0.0469585240398354,0,2.3978952727983707,0,0.0,0,0.0
4,6399657.0,6460459.0,15.671755109402067,15.681211080653997,450,103 St-Corona Plaza (7),103 St-Corona Plaza,11.21275398848673,11.21275398848673,-0.43149591434595547,-0.5967361660426261,0.1214044530690607,0,2.70805020110221,0,0.0,0,0.0
5,536924.0,363436.0,13.193613698932495,12.80336124594181,193,104 St (A),104 St,9.12283952974669,9.537494306684302,-0.43962495376027727,-0.39047446926742607,0.1636010214210131,0,2.1972245773362196,0,0.0,0,0.0
6,774888.0,591761.0,13.560475072271236,13.290859806004585,82,"104 St (J,Z)",104 St,10.268237476072983,9.613175113388598,-0.157064794608261,-0.536796677574223,0.1519026865595167,0,1.9459101490553132,0,0.0,0,0.0
7,3316061.0,2096322.0,15.014288492288104,14.555695415603848,394,110 St (6),110 St,11.780923986349825,11.637416918999199,-0.20356932031176406,0.46679748043808766,0.0564772246131126,0,2.4849066497880004,0,0.0,0,0.0
8,3836999.0,2098984.0,15.160201369229089,14.55696445251711,449,111 St (7),111 St,10.068855305985018,9.696278000713745,0.620090350778787,1.1903885115253714,0.1287050444077419,0,2.70805020110221,0,0.0,0,0.0
9,760163.0,466344.0,13.541289478457,13.052680982536474,194,111 St (A),111 St,10.66718736769758,10.329227605752923,-0.25977475157936447,-0.43524725411289145,0.1674349376026401,0,2.1972245773362196,0,0.0,0,0.0
10,350344.0,453695.0,12.766673662253998,13.02518264921469,81,111 St (J),111 St,10.100562315013242,9.687629148199635,-0.6829519082640929,-0.8943287263135208,0.1584492958299282,0,1.9459101490553132,0,0.0,0,0.0
11,3345661.0,2014762.0,15.02317513928776,14.516012128579392,440,"116 St (2,3)",116 St,11.824779045222005,11.682022616558159,1.725972881928223,1.166624528435363,0.0583891413620714,0,2.6390573296152584,0,0.0,0,0.0
12,4572453.0,2766817.0,15.3355605990544,14.833208481397973,393,116 St (6),116 St,11.593356624760546,11.219901139084255,0.8102212515949034,1.4325925867750324,0.0608978171201562,0,2.4849066497880004,0,0.0,0,0.0
13,2288111.0,1459488.0,14.643237581332713,14.193596932420224,154,"116 St (B,C)",116 St,12.129955003758456,11.66540123788712,0.7211391702293977,0.8253947778727251,0.0580206183093537,0,2.3978952727983707,0,0.0,0,0.0
14,4380469.0,3416295.0,15.292666582531831,15.044067481190476,307,116 St-Columbia University (1),116 St-Columbia University,11.477685028540503,11.095995935774793,5.15802774368131,-1.0245851925130245,0.0564426769740723,0,2.3978952727983707,0,0.0,0,0.0
15,675500.0,476966.0,13.423209916766195,13.075202585087329,80,"121 St (J,Z)",121 St,10.631022882776135,10.631022882776135,-0.835398737604577,-1.100635564945978,0.1649381365845955,0,1.9459101490553132,0,0.0,0,0.0
16,2368025.0,1986493.0,14.677567254655486,14.501881833844612,306,125 St (1),125 St,10.765985486135056,10.37308589523502,1.2835208469915138,-0.4847984405702246,0.0658709203290812,0,2.3978952727983707,0,0.0,0,0.0
17,4644262.0,2672981.0,15.351143252409985,14.798705261091648,439,"125 St (2,3)",125 St,12.781978261615782,12.482386298974335,-0.04207212479319226,0.07799018939931394,0.0653925098233767,0,2.6390573296152584,0,0.0,0,0.0
18,8554857.0,4884086.0,15.962009866690254,15.401492927321891,392,"125 St (4,5,6)",125 St,12.0936506748068,12.21063912342049,-0.8835339645584632,0.08725103702067452,0.067660161690609,0,3.295836866004329,1,0.0,0,0.0
19,9208598.0,5543346.0,16.035648279396643,15.528109027921895,153,"125 St (A,B,C,D)",125 St,11.911957147079184,11.53769619894423,-0.015682826805791777,0.770827965573144,0.0645105985865889,0,3.2188758248682006,1,0.0,0,0.0
20,4268823.0,2201400.0,15.266848937436489,14.604604533827708,438,"135 St (2,3)",135 St,11.115061916262402,11.01876422171348,-0.4531608422505858,1.102389890824506,0.0734081953258577,0,2.6390573296152584,1,0.0,0,0.0
21,1743921.0,1083148.0,14.371647157680238,13.895383097313848,152,"135 St (B,C)",135 St,10.6418845556041,10.6418845556041,-1.2450746192068274,-1.6117372918888293,0.0727299060703377,0,2.3978952727983707,0,0.0,0,0.0
22,3874783.0,2738004.0,15.17000047728046,14.822740110979339,305,137 St-City College (1),137 St-City College,11.166245508125975,10.347768313502273,0.08152307988696136,0.0741528076730657,0.0736412156336331,0,2.3978952727983707,0,0.0,0,0.0
23,1035878.0,785271.0,13.85076089961366,13.573785433563673,391,"138 St-Grand Concourse (4,5)",138 St-Grand Concourse,11.42779114396645,11.385320955806492,-1.219448716341849,-0.6274818871651988,0.0795865552527487,0,2.772588722239781,0,0.0,0,0.0
24,14239275.0,10863467.0,16.471514619958942,16.200916158509425,618,"14 St (A,C,E)/8 Av (L)",14 St,12.370713055745107,12.730121835707942,1.192804429685829,1.1140531585848272,0.0225639568560136,0,3.4965075614664802,1,0.0,1,0.0
26,14736035.0,11328347.0,16.505806480470984,16.242818814782762,601,"14 St (F,M,1,2,3)/6 Av (L)",14 St,12.875603658745332,13.013001197678014,3.094387919732983,0.8352135808505429,0.0235370745208561,0,3.8918202981106265,1,0.0,1,0.0
